title,revenue,vote_average,vote_count
#Horror,0,3.3,52
(500) Days of Summer,60722734,7.2,2904
10 Cloverfield Lane,108286421,6.8,2468
10 Days in a Madhouse,0,4.3,5
10 Things I Hate About You,53478166,7.3,1701
102 Dalmatians,183611771,5.1,313
10th & Wolf,143451,6.3,24
11:14,0,6.8,206
12 Angry Men,1000000,8.2,2078
12 Rounds,17280326,5.7,220
12 Years a Slave,187000000,7.9,3674
127 Hours,35692920,7.0,2606
13 Going on 30,96455697,6.3,1204
13 Hours: The Secret Soldiers of Benghazi,69411370,7.0,938
1408,94679598,6.5,1343
15 Minutes,56359980,5.7,191
16 Blocks,65664721,6.2,661
16 to Life,0,4.4,5
17 Again,136267476,6.1,1350
1776,0,7.1,20
1911,108348,5.0,41
1941,31755742,5.6,143
1982,0,5.0,1
2 Fast 2 Furious,236350661,6.2,2028
2 Guns,131940411,6.6,1589
20 Dates,0,3.7,3
20 Feet from Stardom,0,7.4,85
"20,000 Leagues Under the Sea",28200000,6.8,157
200 Cigarettes,6852450,6.1,44
2001: A Space Odyssey,68700000,7.9,2998
2012,769653595,5.6,4903
2016: Obama's America,33400000,4.6,19
2046,19271312,6.9,206
21,69823199,6.5,1375
21 & Over,48065672,5.7,737
21 Grams,60427839,7.2,918
21 Jump Street,201585328,6.7,4074
22 Jump Street,188441614,7.0,3319
24 7: Twenty Four Seven,0,6.3,10
25th Hour,13060843,7.2,629
27 Dresses,160259319,6.1,978
28 Days,0,6.0,208
28 Days Later,82719885,7.1,1777
28 Weeks Later,64238440,6.5,1197
2:13,0,4.6,10
3 Backyards,0,4.8,4
3 Days to Kill,52597999,6.0,883
3 Ninjas Kick Back,0,4.5,48
3 Strikes,9000000,5.9,15
30 Days of Night,75505973,6.2,767
30 Minutes or Less,40547440,5.6,531
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,0,2.9,28
300,422610419,7.0,4997
3000 Miles to Graceland,18720175,5.8,178
300: Rise of an Empire,337580051,6.1,2397
3:10 to Yuma,70016220,6.9,1188
"4 Months, 3 Weeks and 2 Days",1185783,7.3,156
40 Days and 40 Nights,0,5.2,297
42,95020213,6.8,787
42nd Street,2281000,6.1,37
47 Ronin,150962475,5.9,1326
5 Days of War,17479,5.8,62
50 First Dates,196482882,6.6,2105
50/50,39187783,7.0,1261
51 Birch Street,0,6.8,6
54,16757163,5.5,135
55 Days at Peking,10000000,6.3,36
8 Days,0,0.0,0
8 Heads in a Duffel Bag,0,5.4,39
8 Mile,215000000,6.8,1626
8 Women,0,6.9,196
88 Minutes,16930884,5.7,313
8: The Mormon Proposition,0,5.5,6
8MM,96618699,6.1,474
9,48428063,6.6,1262
90 Minutes in Heaven,4842699,5.4,40
A Beautiful Mind,313542341,7.7,3009
A Beginner's Guide to Snuff,0,0.0,0
A Better Life,1759252,7.0,54
A Bridge Too Far,50750000,6.9,207
A Bug's Life,363258859,6.8,2303
A Charlie Brown Christmas,0,7.5,153
A Christmas Carol,325233863,6.6,1095
A Christmas Story,19294144,7.4,344
A Cinderella Story,70067909,6.1,713
A Civil Action,56702901,6.1,109
A Cock and Bull Story,0,6.2,43
A Dangerous Method,27462041,6.2,571
A Dog Of Flanders,0,6.4,6
A Dog's Breakfast,0,5.9,24
A Farewell to Arms,25,6.2,28
A Few Good Men,243240178,7.1,877
A Fine Step,0,4.1,7
A Fistful of Dollars,14500000,7.6,883
A Funny Thing Happened on the Way to the Forum,0,6.1,24
A Good Day to Die Hard,304654182,5.2,3493
A Good Year,42064105,6.5,357
A Guy Named Joe,5363000,6.0,8
A Guy Thing,17432163,5.3,83
A Hard Day's Night,12299668,7.3,168
A Haunted House,60141683,5.4,516
A Haunted House 2,0,5.4,346
A History of Violence,60740827,6.9,832
A Home at the End of the World,1548955,6.8,45
A Knight's Tale,117487473,6.6,907
A LEGO Brickumentary,0,6.4,55
A League of Their Own,107458785,6.7,354
A Lonely Place to Die,25345000,6.2,157
A Lot Like Love,42886719,6.5,318
A Low Down Dirty Shame,29392418,6.0,31
A Madea Christmas,0,7.0,35
A Man Apart,44350926,5.8,258
A Man for All Seasons,28350000,7.5,89
A Mighty Heart,18928871,6.7,95
A Mighty Wind,18750246,6.6,74
A Million Ways to Die in the West,0,5.8,1468
A Monster in Paris,0,6.5,313
A Most Violent Year,12007070,6.5,546
A Most Wanted Man,31554855,6.5,541
A Night at the Roxbury,30331165,5.9,198
A Nightmare on Elm Street,25504513,7.2,1180
A Nightmare on Elm Street 3: Dream Warriors,44793222,6.5,354
A Nightmare on Elm Street 4: The Dream Master,72500000,5.8,281
A Nightmare on Elm Street 5: The Dream Child,22168359,5.5,245
A Nightmare on Elm Street Part 2: Freddy's Revenge,29999213,5.7,361
A Passage to India,27187653,6.9,67
A Perfect Getaway,22852638,6.2,351
A Prairie Home Companion,0,6.4,81
A Room for Romeo Brass,0,7.3,18
A Room with a View,20966644,6.9,156
A Scanner Darkly,7659918,6.8,532
A Separation,0,7.7,469
A Serious Man,31430334,6.6,483
A Shine of Rainbows,0,6.3,14
A Simple Plan,0,6.9,187
A Simple Wish,8345056,5.5,46
A Single Man,0,7.3,463
A Sound of Thunder,5989640,4.8,111
A Streetcar Named Desire,8000000,7.6,281
A Tale of Three Cities,0,6.3,5
A Thin Line Between Love and Hate,0,5.7,15
A Thousand Words,22044277,6.0,373
A Time to Kill,152266007,7.0,509
A True Story,0,6.8,2
A Turtle's Tale: Sammy's Adventures,0,5.6,151
A Very Harold & Kumar Christmas,35387212,6.0,328
A Very Long Engagement,0,7.1,346
A View to a Kill,152427960,6.0,506
A Walk Among the Tombstones,53181600,6.2,1131
A Walk on the Moon,0,6.2,21
A Walk to Remember,41227069,7.5,1018
"A Woman, a Gun and a Noodle Shop",0,4.8,13
A.I. Artificial Intelligence,235926552,6.8,1974
ABCD (Any Body Can Dance),222000,5.6,10
ATL,21170563,6.0,32
AVP: Alien vs. Predator,171183863,5.5,1217
AWOL-72,0,2.8,10
Abandon,10719357,4.6,45
Abandoned,0,5.8,27
Abduction,82087155,5.6,961
Aberdeen,0,7.0,6
About Last Night,49002684,6.0,210
About Schmidt,105834556,6.7,362
About Time,87100449,7.8,2067
About a Boy,129000000,6.6,607
Abraham Lincoln: Vampire Hunter,112265139,5.5,1269
Absentia,0,5.8,121
Absolute Power,50068310,6.4,223
Accidental Love,0,3.9,95
Ace Ventura: Pet Detective,107217396,6.4,1648
Ace Ventura: When Nature Calls,212385533,6.1,1099
Across the Universe,0,7.1,410
Act of Valor,81272766,6.3,417
Action Jackson,20256975,4.9,50
Adam,2277396,6.9,150
Adam Resurrected,0,6.4,22
Adaptation.,32801173,7.3,638
Addicted,0,5.4,63
Admission,18000000,5.4,304
Adore,318982,6.1,291
Adulterers,0,5.2,16
Adventureland,17164377,6.4,737
After,0,5.6,63
After Earth,243843127,5.0,2532
After the Sunset,61347797,6.0,226
After.Life,3606395,5.4,251
Against the Ropes,6614280,4.5,32
Against the Wild,0,4.9,19
Agent Cody Banks,58795814,5.0,284
Agent Cody Banks 2: Destination London,28818995,5.2,144
Agora,39041505,6.9,395
Aimee & Jaguar,0,6.3,20
Air Bud,23144499,5.3,106
Air Force One,315156409,6.2,840
Airborne,2850263,6.1,20
Airlift,32000000,7.3,57
Airplane!,83453539,7.1,1074
Ajami,0,6.8,27
Akeelah and the Bee,18948425,6.7,81
Akira,553171,7.8,773
Aladdin,504050219,7.4,3416
Alatriste,23321954,5.6,61
Albert Nobbs,5634828,6.2,132
Albino Alligator,0,5.6,45
Alex & Emma,15368897,5.0,68
Alex Cross,30353232,5.1,300
Alexander,167298192,5.6,927
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",100654149,6.1,493
Alexander's Ragtime Band,4000000,4.8,6
Alfie,13395939,5.6,248
Ali,87713825,6.7,447
Alice Through the Looking Glass,299370084,6.5,1725
Alice in Wonderland,1025491110,6.4,4645
Alien,104931801,7.9,4470
Alien Zone,0,4.0,3
Alien: Resurrection,162000000,5.9,1365
Aliens,183316455,7.7,3220
Aliens in the Attic,57881056,5.3,244
Aliens vs Predator: Requiem,41797066,4.9,740
Alien³,159773545,6.2,1633
Alive,36733909,6.7,374
All About Steve,40105542,4.7,295
All About the Benjamins,25482931,5.8,48
All Good Things,0,5.9,286
All Hat,0,1.0,1
All Is Bright,0,5.3,36
All Is Lost,6108720,6.6,671
All Superheroes Must Die,0,4.2,13
All That Jazz,37823676,7.3,85
All The Queen's Men,23000,6.1,7
All or Nothing,0,7.0,33
All the Boys Love Mandy Lane,0,5.7,209
All the King's Men,9450897,5.7,95
All the Pretty Horses,0,5.8,60
All the Real Girls,0,5.9,30
Allegiant,179246868,5.9,1998
Alleluia! The Devil's Carnival,0,6.0,2
Almost Famous,47383689,7.4,797
Aloft,53086,5.1,41
Aloha,26250020,5.2,692
Alone With Her,10018,6.2,20
Alone in the Dark,10442808,3.1,173
Along Came Polly,171963386,5.8,773
Along Came a Spider,105178561,6.1,400
Along the Roadside,0,7.7,3
Alpha and Omega,39300000,5.3,124
Alpha and Omega: The Legend of the Saw Tooth Cave,0,6.5,4
Alvin and the Chipmunks,361366633,5.5,1177
Alvin and the Chipmunks: Chipwrecked,342695435,5.4,484
Alvin and the Chipmunks: The Road Chip,233755553,5.8,428
Alvin and the Chipmunks: The Squeakquel,443140005,5.4,666
Amadeus,51973029,7.8,1076
Amen.,0,7.1,75
America Is Still the Place,0,0.0,0
America's Sweethearts,0,5.5,252
American Beast,0,0.0,0
American Beauty,356296601,7.9,3313
American Desi,0,5.0,4
American Dreamz,7314027,4.9,95
American Gangster,266465037,7.4,1502
American Graffiti,140000000,6.9,324
American Heist,0,4.3,158
American Hero,0,5.0,62
American History X,23875127,8.2,3016
American Hustle,251171807,6.8,2807
American Ninja 2: The Confrontation,0,4.9,49
American Outlaws,13678913,5.7,55
American Pie,235483004,6.4,2296
American Pie 2,287553595,6.0,1344
American Psycho,34266564,7.3,2066
American Reunion,234989584,6.1,1611
American Sniper,542307423,7.4,4469
American Splendor,6003587,7.1,120
American Wedding,231449203,6.0,1129
Amidst the Devil's Wings,0,0.0,0
Amigo,0,6.0,2
Amistad,74000000,6.8,316
Amnesiac,0,4.1,52
Among Giants,0,4.5,2
Amores perros,20908467,7.6,521
Amour,19839492,7.5,400
Amélie,173921954,7.8,3310
"An Alan Smithee Film: Burn, Hollywood, Burn",45779,3.0,9
An American Carol,7000000,4.1,20
An American Haunting,0,5.3,142
An American in Hollywood,0,0.0,0
An Education,26096852,6.8,409
An Everlasting Piece,0,6.0,1
An Ideal Husband,18535191,6.3,46
An Inconvenient Truth,46243000,6.7,251
An Unfinished Life,18618284,6.7,161
Anaconda,136885767,4.7,610
Anacondas: The Hunt for the Blood Orchid,70992898,4.9,199
Analyze That,55003135,5.7,380
Analyze This,176885658,6.4,503
Anastasia,139804348,7.4,1432
Anatomy,0,6.1,61
Anchorman 2: The Legend Continues,173649015,6.0,923
Anchorman: The Legend of Ron Burgundy,90574188,6.7,1493
And So It Goes,25312387,5.7,164
And Then Came Love,0,5.0,1
Anderson's Cross,0,0.0,0
Angel Eyes,29700000,5.6,88
Angela's Ashes,13,7.0,59
Angels & Demons,356613439,6.5,2129
Animal House,141000000,7.0,418
Animals,0,6.2,9
Animals United,0,5.5,90
Anna Karenina,68929150,6.5,639
Anna and the King,0,6.4,197
Annabelle,255273813,5.6,1517
Anne of Green Gables,0,8.2,68
Annie,133821816,6.0,466
Annie Get Your Gun,8000000,7.3,22
Annie Hall,38251425,7.8,1010
Anomalisa,5659286,7.0,459
Anonymous,15395087,6.3,288
Another Earth,1776935,6.8,527
Another Happy Day,355688,6.2,37
Another Year,18124262,7.0,97
Ant-Man,519311965,7.0,5880
Antarctic Edge: 70° South,0,0.0,0
Antarctica: A Year on Ice,0,7.2,29
Antibirth,0,4.8,40
